Row,Plant,Variety,NumReps,NumWeakInds,Notes,NumReps_Good,robinson_budding,robinson_ripening,color,notes
12,1,Aligote,6,0,,6,early,early,white,
12,3,Auxerrois,5,1,one weak,4,,early,white,
12,5,Chardonnay,7,2,two very small/at bb,5,early,early,white,
12,7,Gamay Noir,7,0,,7,,early,red,
12,10,Melon,6,0,,6,,mid,white,
13,3,Pinot gris,9,0,,9,early,early,red,
13,5,Pinot  Meunier,7,2,two very small,5,early,early,rose,
13,8,Pinot Noir,???,??,,#VALUE!,early,early,red,
13,9,Cabernet franc,7,0,,7,,mid,red,
14,1,Cabernet Sauvignon,8,1,one no bb,7,late,mid to late,red,
14,3,Carmenere,8,0,,8,,late,red,later than Merlot
15,3,Merlot,6,0,,6,early,mid,red,
16,1,Sauvignon blanc,7,1,one looks dead,6,,early to mid,white,
17,2,Ugni blanc/Trebbiano,5,1,one very small plant,4,late,mid to late,white,Trebbiano Toscano
17,3,Alicante Bouchet,6,0,,6,early,early-mid,red,
18,1,Cinsault,5,0,,5,late,mid,red,
18,3,Counoise,8,0,,8,,mid to late,red,
18,5,Durif1,7,0,,7,,late,red,
18,7,Marsanne,9,0,,9,late,mid,white,
19,7,Roussanne,6,6,three no bb yet,0,,mid,white,
19,9,Syrah,8,0,,8,,mid,red,
20,2,Valdepenas,5,0,,5,early,early,red,2 plants (see Tempranillo)
20,4,Viognier,7,0,,7,early,mid,white,
20,5,Gewurtztraminer,8,2,two of them very tiny,6,early,early,white,
21,7,Chasselas doree,7,0,,7,mid,early,white,
21,9,Gruner Veltiner,6,0,,6,,mid,white,
22,1,Rotgipfler,7,0,,7,,mid to late,white,
22,7,Furmint,7,0,,7,early,late,white,
22,9,Durif2,8,0,,8,,late,red,2 plants (see above)
23,7,Szagos feher,7,2,two tiny plants,5,,,white,
24,1,Barbera,8,1,one very small plant,7,,relatively late ,red,after Dolcetto but before Nebbiolo
24,9,Dolcetto,7,0,,7,,early,red,"up to 4 weeks before Nebbiolo, suitable for coolr sites where Barbera and Nebbiolo fail to fully ripen"
25,9,Nebbiolo,6,2,two tiny plants,4,early,very late,red,
26,6,Sangiovese,7,1,one tiny plant,6,,late,red,slow and late ripening
27,1,Coda di Volpe,5,0,,5,,early,white,
28,7,Refosco,6,0,,6,,late,red,
29,3,Schiopettino,8,0,,8,,mid to late,red,
29,7,Tocai Friulano,5,0,,5,early,early to mid,white,Sauvignonasse
32,3,Zinfandel/Primitivo,7,1,one with no bb yet,6,,mid to late,red,Tribidrag
32,7,Pinotage,5,0,,5,early to mid,early to mid,red,
32,5,Rkatsiteli,4,0,,4,late,late,white,cool one!
34,1,Macabeo,6,0,,6,late,late,white,
34,5,Morrastel,6,2,two of plants look diseased,4,early,early,red,
34,7,Palomino,4,2,two were planted upside down,2,mid,mid to late,white,
35,3,Tempranillo,6,1,one just breaking bud,5,early,early,red,
38,7,Verdelho,6,0,,6,,very early,white,
39,3,Calzin,5,0,,5,,,red,Olmo hybrid (probably Refosco x Zin)
39,7,Carnelian,9,1,two very small,8,,early to mid,red,
40,9,Ruby Cabernet,7,0,,7,late,mid to late,white,table/wine
42,7,Early Muscat,6,0,,6,,,white,
43,3,July Muscat,4,3,"three tiny, one without roots",1,,,white,Olmo hybrid - table
44,1,Ruby Seedless,6,0,,6,,,table,table
