"plantID","variety","stage","doy","m","intercept","n"
"12.1","Aligote","budburst",71.6785388127854,1.92328767123288,58.2155251141553,6
"12.2","Aligote","budburst",71.038408508962,2.20937561552098,55.5727792003151,8
"12.3","Auxerrois","budburst",73.4062153163152,2.12097669256382,58.5593784683685,8
"12.4","Auxerrois","budburst",70.8803750404138,1.81474296799224,58.1771742644681,7
"12.5","Chardonnay","budburst",71.8370240560777,2.51011629759439,54.266209972917,9
"12.6","Chardonnay","budburst",68.8654467168999,2.31620021528525,52.6520452099031,7
"12.7","Gamay Noir","budburst",74.1240547525605,1.97827127404997,60.2761558342108,8
"12.8","Gamay Noir","budburst",78.365246731337,1.01602699283003,71.2530577815268,8
"12.9","Melon","budburst",73.0681843461496,1.73786659745653,60.9031181639539,7
"12.10","Melon","budburst",71.4360332294912,2.05264797507788,57.067497403946,7
"13.1","Pinot blanc","budburst",72.4284934497817,2.29912663755459,56.3346069868995,8
"13.2","Pinot blanc","budburst",NA,NA,NA,NA
"13.3","Pinot gris","budburst",70.6128214415067,1.92104310032597,57.1655197392249,7
"13.4","Pinot gris","budburst",66.4151886085436,2.21983512365726,50.8763427429428,7
"13.5","Pinot Meunier","budburst",79.1117861482381,0.246051032806806,77.3894289185905,7
"13.6","Pinot Meunier","budburst",70.1273606992352,2.07398158264398,55.6094896207274,7
"13.7","Pinot noir","budburst",NA,NA,NA,NA
"13.8","Pinot noir","budburst",71.6097901014639,2.4279296723724,54.6142823948571,8
"13.9","Cabernet franc","budburst",71.6208097518503,1.63125816282107,60.2020026121028,6
"13.10","Cabernet franc","budburst",73.762918690076,1.85282032125514,60.79317644129,7
"14.1","Cabernet Sauvignon","budburst",76.424035506999,1.8789689313759,63.2712529873677,7
"14.2","Cabernet Sauvignon","budburst",NA,NA,NA,NA
"14.3","Carmenere","budburst",73.3715736040609,1.60583756345178,62.1307106598985,7
"14.4","Carmenere","budburst",74.6069604086846,1.80986590038314,61.9378991060026,7
"14.5","Chenin blanc","budburst",66.5853256389118,1.84699093157461,53.6563891178895,6
"14.6","Chenin blanc","budburst",67.7748017998715,2.06117420184273,53.3465823869724,7
"14.7","Durif","budburst",NA,NA,NA,NA
"14.8","Durif","budburst",NA,NA,NA,NA
"14.9","Cot","budburst",71.1188151041667,1.81982421875,58.3800455729167,7
"14.10","Cot","budburst",72.6685796269727,1.72166427546628,60.6169296987088,7
"15.1","Folle blance","budburst",78.9816407157797,0.27399488728794,77.0636765047641,7
"15.2","Folle blance","budburst",69.3900621118013,1.9527950310559,55.72049689441,6
"15.3","Merlot","budburst",74.0456900612341,1.79321714554875,61.4931700423928,7
"15.4","Merlot","budburst",73.6925110132159,1.73656387665198,61.536563876652,7
"15.5","Muscadelle du Bordelais","budburst",74.1253332782175,1.90467726267491,60.7925924394932,8
"15.6","Muscadelle du Bordelais","budburst",65.4749902152642,2.53479452054795,47.7314285714286,7
"15.7","Petit Manseng","budburst",71.5348586917527,1.79112687846295,58.9969705425121,7
"15.8","Petit Manseng","budburst",69.4424460431655,2.01798561151079,55.3165467625899,7
"15.9","Petit Verdot","budburst",74.1526065646814,1.7508540026734,61.8966285459676,7
"15.10","Petit Verdot","budburst",74.1256521739131,1.72891304347826,62.0232608695652,7
"16.1","Sauvignon blanc","budburst",84.3465355549486,2.61267413275061,66.0578166256943,8
"16.2","Sauvignon blanc","budburst",77.8389500916614,2.3601350077955,61.3180050370929,8
"16.3","Sauvignon gris","budburst",74.8804563492064,1.84548611111111,61.9620535714286,7
"16.4","Sauvignon gris","budburst",72.6874630832841,1.74032782043709,60.5051683402245,7
"16.5","Sauvignon vert","budburst",73.3636887608069,1.70878962536023,61.4021613832853,7
"16.6","Sauvignon vert","budburst",71.2255827255827,1.6951951951952,59.3592163592164,7
"16.7","Tannat","budburst",71.4218059727867,1.92489839194204,57.9475172291924,7
"16.8","Tannat","budburst",74.416990462734,1.89659131049099,61.1408512892971,7
"16.9","Trousseau gris","budburst",72.8409898824173,1.64848236259229,61.3016133442713,7
"16.10","Trousseau gris","budburst",66.3010449494112,1.98440869132526,52.4101841101344,6
"17.1","Durif","budburst",NA,NA,NA,NA
"17.2","Ungni blanc/Trebbiano","budburst",78.58667998668,2.35224775224775,62.1209457209457,8
"17.3","Alicante Bouschet","budburst",74.3048448557431,1.65922700054437,62.6902558519325,7
"17.4","Alicante Bouschet","budburst",64.1809523809524,2.20952380952381,48.7142857142857,6
"17.5","Durif","budburst",NA,NA,NA,NA
"17.6","Durif","budburst",NA,NA,NA,NA
"17.7","Burger","budburst",73.4734370413854,1.72673906662753,61.3862635749927,7
"17.8","Burger","budburst",72.6083825435691,1.71539680253493,60.6006049258246,7
"17.9","Carignane","budburst",72.9677612835508,1.73054430949168,60.853951117109,7
"17.10","Carignane","budburst",69.433033971105,1.99902381882077,55.4398672393596,7
"18.1","Cinsault","budburst",77.4458786231884,2.14877717391304,62.4044384057971,7
"18.2","Cinsault","budburst",76.3213309024613,2.1214676390155,61.4710574293528,8
"18.3","Counoise","budburst",78.6858590835504,2.43239248257901,61.6591117054973,8
"18.4","Counoise","budburst",77.4738205617671,2.37210253613308,60.8691028088355,8
"18.5","Durif","budburst",75.2238198740456,2.10449757565624,60.4923368444519,8
"18.6","Durif","budburst",75.0077136686208,1.78185745140389,62.5347115087936,7
"18.7","Marsanne","budburst",74.2452052227151,2.18660585993628,58.9389642031611,8
"18.8","Marsanne","budburst",74.2049575899386,1.73011114360924,62.0941795846739,7
"18.9","Durif","budburst",NA,NA,NA,NA
"18.10","Durif","budburst",NA,NA,NA,NA
"19.1","Mourvedre","budburst",78.8570558128199,2.21435534974409,63.3565683646112,8
"19.2","Mourvedre","budburst",86.3098292863959,2.74233909447566,67.1134556250663,8
"19.3","Negrette","budburst",75.8980144404332,1.93592057761733,62.3465703971119,7
"19.4","Negrette","budburst",74.2786606129398,1.70090805902384,62.372304199773,7
"19.5","Durif","budburst",NA,NA,NA,NA
"19.6","Durif","budburst",NA,NA,NA,NA
"19.7","Roussanne","budburst",78.8429906542056,2.47289719626168,61.5327102803738,8
"19.8","Roussanne","budburst",80.489932885906,2.47651006711409,63.1543624161074,8
"19.9","Syrah","budburst",75.6995896288006,1.94543928371573,62.0815146427905,7
"19.10","Syrah","budburst",76.1736082715112,2.14480986038904,61.1599392487879,8
"20.1","Valdepenas","budburst",NA,NA,NA,NA
"20.2","Valdepenas","budburst",79.573507226629,2.29003844469317,63.5432381137768,8
"20.3","Viognier","budburst",74.790080073737,2.13036465234173,59.8775275073449,8
"20.4","Viognier","budburst",74.0215982721382,1.8374314670211,61.1595780029905,7
"20.5","Gewurztraminer","budburst",72.3162527507073,1.79943414020748,59.720213769255,7
"20.6","Gewurztraminer","budburst",75.0459242250287,2.1337543053961,60.109644087256,8
"20.7","Muscat Ottonel","budburst",74.4034501947691,1.68322203672788,62.6208959376739,7
"20.8","Muscat Ottonel","budburst",74.1893870082342,1.76967063129003,61.801692589204,7
"20.9","Reisling","budburst",76.7010187426127,2.14864636685991,61.6604941745933,8
"20.10","Reisling","budburst",NA,NA,NA,NA
"21.1","Siegerrebe","budburst",73.677840451249,1.80290088638195,61.0575342465754,7
"21.2","Siegerrebe","budburst",71.155621192542,1.94664943695773,57.5290751338379,7
"21.3","Sylvaner","budburst",NA,NA,NA,NA
"21.4","Sylvaner","budburst",78.6073619631902,2.33623589946567,62.2537106669305,8
"21.5","Durif","budburst",NA,NA,NA,NA
"21.6","Durif","budburst",NA,NA,NA,NA
"21.7","Chasselas doree","budburst",72.926196269262,1.82384428223844,60.1592862935929,7
"21.8","Chasselas doree","budburst",71.3698444283647,1.91434515195369,57.9694283646889,7
"21.9","Gruner Veltiner","budburst",75.1805728518057,1.78019925280199,62.7191780821918,7
"21.10","Gruner Veltiner","budburst",77.2222308855864,2.27239696227798,61.3154521496405,8
"22.1","Rotgipfler","budburst",80.3185321715818,2.61293565683646,62.0279825737265,8
"22.2","Rotgipfler","budburst",78.6123908826382,2.25945683802134,62.7961930164888,8
"22.3","Durif","budburst",NA,NA,NA,NA
"22.4","Durif","budburst",NA,NA,NA,NA
"22.5","Durif","budburst",NA,NA,NA,NA
"22.6","Durif","budburst",NA,NA,NA,NA
"22.7","Furmint","budburst",75.5638799305383,2.20404366162243,60.1355742991813,8
"22.8","Furmint","budburst",76.3298245614035,1.81052631578947,63.6561403508772,7
"22.9","Durif","budburst",NA,NA,NA,NA
"22.10","Durif","budburst",NA,NA,NA,NA
"23.1","Durif","budburst",NA,NA,NA,NA
"23.2","Durif","budburst",NA,NA,NA,NA
"23.3","Durif","budburst",NA,NA,NA,NA
"23.4","Durif","budburst",NA,NA,NA,NA
"23.5","Reisling Italico","budburst",73.9438868613139,1.7668795620438,61.5757299270073,7
"23.6","Reisling Italico","budburst",NA,NA,NA,NA
"23.7","Szagos feher","budburst",74.324550024323,1.82009080590238,61.5839143830063,7
"23.8","Szagos feher","budburst",74.7281084449984,1.79354939233406,62.17326269866,7
"23.9","Arneis","budburst",74.4770192887282,1.75474683544304,62.1937914406269,7
"23.10","Arneis","budburst",74.5842592592593,1.94722222222222,60.9537037037037,7
"24.1","Barbera","budburst",73.7620930232558,1.77186046511628,61.3590697674419,7
"24.2","Barbera","budburst",75.9646544181977,1.88766404199475,62.7510061242345,7
"24.3","Biancetta trevigniana","budburst",74.203054956002,1.83471691847916,61.3600365266479,7
"24.4","Biancetta trevigniana","budburst",74.1940594059406,1.76778370144707,61.8195734958111,7
"24.5","Biancello","budburst",73.5486194477791,1.88355342136855,60.3637454981993,7
"24.6","Biancello","budburst",73.8595034788109,1.79909867172676,61.2658127767236,7
"24.7","Durif","budburst",NA,NA,NA,NA
"24.8","Durif","budburst",NA,NA,NA,NA
"24.9","Dolcetto","budburst",77.6195355191257,2.40327868852459,60.7965846994535,8
"24.10","Dolcetto","budburst",80.7170804001482,2.42111893293813,63.7692478695813,8
"25.1","Grignolino","budburst",73.994557611569,1.77989426216763,61.5352977763956,7
"25.2","Grignolino","budburst",75.5199192462988,2.36325706594886,58.9771197846568,8
"25.3","Durif","budburst",NA,NA,NA,NA
"25.4","Durif","budburst",NA,NA,NA,NA
"25.5","Malvasia bianca","budburst",NA,NA,NA,NA
"25.6","Malvasia bianca","budburst",76.0369345294904,1.97127314372972,62.2380225233823,7
