"RowNumNumRep","Var","flowering23yn","flowering12yn","flowering7yn","flowering4yn","nodesize_mean","spurdiam_mean"
"18.1.R5","Cinsault",0,0,1,1,3.4,4.595
"18.1.R2","Cinsault",0,0,1,1,3.7525,4.705
"39.7.R9","Carnelian",1,1,1,1,4.27,8.25
"34.5.R3","Morrastel",0,0,1,1,4.7225,5.61
"29.7.R1","Tocai Friulano",1,1,1,1,4.19,6.56
"14.3.R9","Carmenere",0,0,1,1,4.9325,5.545
"18.3.R8","Counoise",0,0,1,1,3.575,4.07
"18.1.R4","Cinsault",0,0,1,1,3.8775,5.685
"20.4.R7","Viognier",0,0,1,1,4.5525,4.94
"24.9.R6","Dolcetto",0,0,1,1,5.0475,5.65
"24.9.R5","Dolcetto",0,0,1,1,3.2075,5.31
"23.7.R4","Szagos feher",0,0,1,1,4.4875,6.74
"39.7.R1","Carnelian",0,0,1,1,4.385,6.37
"22.7.R3","Furmint",0,0,1,1,4.545,6.64
"12.1.R7","Aligote",0,0,1,1,3.425,5.305
"12.1.R5","Aligote",0,0,1,1,3.425,3.39
"22.1.R6","Rotgipfler",0,0,1,1,4.095,5.71
"34.1.R2","Macabeo",0,0,1,1,3.9175,6.465
"39.7.R2","Carnelian",0,1,1,1,3.9625,6.045
"22.1.R5","Rotgipfler",0,0,1,1,3.82,4.845
"19.9.R6","Syrah",0,0,1,1,3.4925,6.17
"25.9.R4","Nebbiolo",0,0,1,1,3.385,5.485
"12.7.R4","Gamay Noir",1,1,1,1,3.405,3.995
"22.7.R5","Furmint",0,0,1,1,4.695,5.92
"29.3.R4","Schiopettino",0,0,1,1,3.72,8.3
"14.1.R4","Cabernet Sauvignon",0,0,1,1,4.795,5.69
"18.7.R4","Marsanne",0,0,1,1,4.51,5.32
"20.2.R3","Valdepenas",0,0,1,1,3.8025,4.995
"23.7.R6","Szagos feher",0,0,1,1,4.355,6.23
"29.3.R3","Schiopettino",0,0,1,1,3.8,5.695
"34.1.R4","Macabeo",0,0,1,1,3.36,5.18
"44.1.R4","Ruby Seedless",0,0,1,1,4.76,8.39
"40.9.R6","Ruby Cabernet",0,0,1,1,3.4375,5.03
"12.7.R7","Gamay Noir",0,0,1,1,2.8675,4.23
"24.1.R7","Barbera",0,0,1,1,3.575,5.19
"19.9.R4","Syrah",0,0,1,1,2.97,4.875
"12.5.R5","Chardonnay",0,0,1,1,3.045,4.64
"32.5.R4","Rkatsiteli",0,0,1,1,4.04,6.26
"18.5.R3","Durif1",0,0,1,1,2.935,3.81
"20.2.R4","Valdepenas",0,0,0,0,4.115,5.435
"24.1.R3","Barbera",0,0,1,1,3.81,4.615
"24.1.R2","Barbera",0,0,1,1,3.705,3.82
"38.7.R2","Verdelho",0,0,0,0,3.215,5.2
"22.9.R7","Durif2",0,0,0,0,4.14,10.88
"21.7.R2","Chasselas doree",0,0,1,1,2.305,2.22
"21.7.R3","Chasselas doree",0,0,1,1,3.125,5.96
"12.7.R3","Gamay Noir",0,0,1,1,3.7375,3.465
"18.5.R5","Durif1",0,0,0,0,4.175,5.555
"21.7.R4","Chasselas doree",0,0,1,1,3.955,5.045
"27.1.R4","Coda di Volpe",0,0,1,1,4,7.97
"12.7.R5","Gamay Noir",0,0,1,1,2.915,2.69
"21.9.R1","Gruner Veltiner",0,0,1,1,3.1925,5.28
"34.1.R6","Macabeo",0,0,1,1,3.2375,5.165
"13.5.R2","Pinot  Meunier",1,1,1,1,2.895,5.245
"39.7.R6","Carnelian",0,0,1,1,3.235,5.425
"20.2.R5","Valdepenas",0,0,0,0,3.93,6.85
"32.3.R3","Zinfandel/Primitivo",0,0,1,1,3.59,5.79
"13.5.R3","Pinot  Meunier",0,0,1,1,2.9725,3.335
"18.1.R1","Cinsault",0,0,1,1,3.62,5.22
"24.1.R1","Barbera",0,0,1,1,3.38,4.465
"21.7.R5","Chasselas doree",0,0,1,1,4,6.02
"20.4.R3","Viognier",0,0,1,1,4.2175,5.895
"34.7.R4","Palomino",0,0,1,1,3.2575,6.875
"12.7.R8","Gamay Noir",0,0,1,1,3.43,3.735
"24.1.R4","Barbera",0,1,1,1,2.9975,4.36
"28.7.R4","Refosco",0,0,1,1,3.575,5.735
"12.10.R2","Melon",0,0,1,1,3.2675,5.515
"40.9.R2","Ruby Cabernet",0,1,1,1,4.2475,6.335
"22.9.R6","Durif2",0,0,1,1,4.0025,5.275
"15.3.R3","Merlot",0,0,1,1,4.395,5.61
"29.3.R5","Schiopettino",0,0,1,1,3.2325,5.965
"39.7.R5","Carnelian",0,0,1,1,3.525,6.78
"21.9.R8","Gruner Veltiner",0,0,1,1,2.725,4.65
"22.1.R1","Rotgipfler",0,0,1,1,2.86,6.73
"32.3.R6","Zinfandel/Primitivo",0,0,1,1,4.81,3.945
"20.4.R2","Viognier",0,0,1,1,3.655,5.46
"17.3.R7","Alicante Bouchet",0,0,1,1,4.665,8.58
"12.3.R3","Auxerrois",0,0,1,1,3.40666666666667,4.9
"24.9.R1","Dolcetto",0,0,1,1,3.41333333333333,6.055
"16.1.R4","Sauvignon blanc",0,0,0,0,3.605,7.36
"18.1.R3","Cinsault",0,0,1,1,2.6725,5.515
"19.7.R4","Roussanne",0,0,1,1,3.4375,3.085
"28.7.R3","Refosco",0,0,1,1,4.7075,5.485
"13.3.R1","Pinot gris",0,0,1,1,3.6125,4.73
"44.1.R3","Ruby Seedless",0,0,1,1,3.7425,6.31
"12.5.R2","Chardonnay",0,0,1,1,2.36,2.6
"19.9.R1","Syrah",0,0,1,1,4.205,5.32
"14.1.R3","Cabernet Sauvignon",0,0,0,0,2.97,4.94
"34.5.R2","Morrastel",0,0,1,1,3.41,5.3
"15.3.R1","Merlot",0,0,1,1,3.6975,5.78
"22.1.R4","Rotgipfler",1,1,1,1,3.2625,6.15
"22.9.R5","Durif2",0,0,1,1,3.645,6.535
"17.3.R5","Alicante Bouchet",0,0,1,1,3.965,5.965
"18.7.R9","Marsanne",0,0,1,1,2.985,5.67
"17.2.R2","Ugni blanc/Trebbiano",0,0,1,1,3.475,6.995
"29.3.R7","Schiopettino",0,0,1,1,3.3575,5.92
"13.5.R4","Pinot  Meunier",0,0,1,1,3.665,4.67
"14.3.R1","Carmenere",0,0,1,1,4.04,5.67
"24.9.R2","Dolcetto",0,0,1,1,3.485,8.58
"12.10.R1","Melon",0,0,1,1,3.38,4.4
"16.1.R3","Sauvignon blanc",0,0,0,0,3.2325,4.955
"18.5.R4","Durif1",0,0,0,0,3.73,6.19
"18.7.R5","Marsanne",1,1,1,1,4.21,5.93
"18.5.R8","Durif1",0,0,0,0,3.69,5.93
"14.3.R2","Carmenere",0,0,1,1,4.065,6.23
"32.5.R3","Rkatsiteli",0,0,1,1,2.8975,5.875
"12.3.R1","Auxerrois",0,0,1,1,3.9875,6.07
"12.1.R3","Aligote",0,0,1,1,3.7125,4.82
"25.9.R2","Nebbiolo",0,0,1,1,2.9275,5.17
"18.3.R4","Counoise",0,0,1,1,5.115,5.52
"29.7.R3","Tocai Friulano",0,0,1,1,4.2425,5.795
"13.5.R6","Pinot  Meunier",0,0,1,1,4.0225,5.245
"12.5.R3","Chardonnay",0,0,1,1,3.26,5.2
"22.9.R2","Durif2",0,0,1,1,3.5725,5.87
"17.2.R5","Ugni blanc/Trebbiano",0,0,1,1,4.27,6.57
"20.5.R5","Gewurtztraminer",0,0,1,1,2.16,3.38
"26.6.R2","Sangiovese",0,0,1,1,4.1125,5.16
"14.3.R4","Carmenere",0,0,1,1,3.79,5.28
"21.7.R7","Chasselas doree",0,0,1,1,4.08,5.23
