"RowNumNumRep","Var","days.to.50","days.to.10","flowering23yn","flowering12yn","flowering7yn","flowering4yn"
"39.7.R9","Carnelian",57.3579943314438,49.2732994331444,1,1,1,1
"29.7.R1","Tocai Friulano",66.5557711554566,58.5327518944423,1,1,1,1
"12.7.R4","Gamay Noir",61.6778580100514,54.5090667174883,1,1,1,1
"13.5.R2","Pinot  Meunier",60.8966061297795,53.0314545637652,1,1,1,1
"40.9.R2","Ruby Cabernet",NA,71.0497930017581,0,1,1,1
"22.1.R4","Rotgipfler",52.660593667302,46.5763735958695,1,1,1,1
"18.7.R5","Marsanne",61.6239521736305,53.6593020989018,1,1,1,1
"12.7.R2","Gamay Noir",53.5244005641749,46.4022566995769,1,1,1,1
"40.9.R3","Ruby Cabernet",64.2507343476682,57.0324763193505,1,1,1,1
"12.7.R1","Gamay Noir",NA,71.4546899841017,0,1,1,1
"18.7.R1","Marsanne",NA,63.1269852042894,0,1,1,1
"39.7.R8","Carnelian",59.9210507060803,52.3897709811956,1,1,1,1
"12.7.R6","Gamay Noir",NA,63.8311435973353,0,1,1,1
"13.5.R5","Pinot  Meunier",NA,47.8818079730489,0,1,1,1
"32.7.R1","Pinotage",58.4167620067671,51.3150848324043,1,1,1,1
"39.3.R3","Calzin",57.9056008746111,50.6086956521739,1,1,1,1
"32.7.R3","Pinotage",NA,77.4674235033259,0,1,1,1
"39.3.R5","Calzin",62.1250536686778,54.9386256299008,1,1,1,1
"32.7.R2","Pinotage",NA,71.8760952015964,0,1,1,1
"40.9.R5","Ruby Cabernet",52.6988071570577,47.3638170974155,1,1,1,1
"40.9.R8","Ruby Cabernet",53.2015356075441,47.8788003710193,1,1,1,1
"39.3.R4","Calzin",NA,70.2810908493511,0,1,1,1
"23.7.R3","Szagos feher",NA,72.6503763834155,0,1,1,1
