"Date","RowNum","Num","Rep","RowNumNumRep","EL_stem1","EL_stem2","moist_1","moist_2","moist_3","notes","X","days","Var"
2016-08-22,18,1,"R5","18.1.R5",1,1,9.2,10.3,11.3,"",NA,7,"Cinsault"
2016-08-22,18,1,"R2","18.1.R2",1,1,6.2,7.6,8.7,"",NA,7,"Cinsault"
2016-08-22,39,7,"R9","39.7.R9",2,NA,8.1,8.7,8.7,"",NA,7,"Carnelian"
2016-08-22,34,5,"R3","34.5.R3",1,1,12.4,11.9,13.5,"",NA,7,"Morrastel"
2016-08-22,29,7,"R1","29.7.R1",1,NA,10.7,9.6,11.2,"",NA,7,"Tocai Friulano"
2016-08-22,14,3,"R9","14.3.R9",1,2,10.9,8.5,11.2,"",NA,7,"Carmenere"
2016-08-22,18,3,"R8","18.3.R8",1,1,9.6,9.2,10,"",NA,7,"Counoise"
2016-08-22,18,1,"R4","18.1.R4",1,1,13.6,12.6,13.3,"",NA,7,"Cinsault"
2016-08-22,20,4,"R7","20.4.R7",2,2,8.6,8.9,9.6,"",NA,7,"Viognier"
2016-08-22,24,9,"R6","24.9.R6",2,2,12.8,9.4,10.8,"",NA,7,"Dolcetto"
2016-08-22,24,9,"R5","24.9.R5",1,1,9.1,10.9,12.5,"",NA,7,"Dolcetto"
2016-08-22,23,7,"R4","23.7.R4",1,2,8.3,7.8,8.3,"",NA,7,"Szagos feher"
2016-08-22,39,7,"R1","39.7.R1",2,NA,12.7,9.3,13.4,"",NA,7,"Carnelian"
2016-08-22,22,7,"R3","22.7.R3",2,NA,8.9,9.5,8.2,"",NA,7,"Furmint"
2016-08-22,12,1,"R7","12.1.R7",2,2,11.5,10.5,12.3,"",NA,7,"Aligote"
2016-08-22,12,1,"R5","12.1.R5",2,NA,12.5,9.5,10.3,"",NA,7,"Aligote"
2016-08-22,22,1,"R6","22.1.R6",1,NA,10.6,10.4,9.7,"",NA,7,"Rotgipfler"
2016-08-22,34,1,"R2","34.1.R2",1,1,11.2,9.9,9.6,"",NA,7,"Macabeo"
2016-08-22,39,7,"R2","39.7.R2",2,2,13.5,10.3,9.4,"",NA,7,"Carnelian"
2016-08-22,22,1,"R5","22.1.R5",1,1,8.7,8.3,9,"",NA,7,"Rotgipfler"
2016-08-22,19,9,"R6","19.9.R6",1,1,9.2,10.7,10.9,"",NA,7,"Syrah"
2016-08-22,25,9,"R4","25.9.R4",1,2,10.3,10.4,10.5,"",NA,7,"Nebbiolo"
2016-08-22,12,7,"R4","12.7.R4",1,2,10.5,10.7,10.5,"",NA,7,"Gamay Noir"
2016-08-22,22,7,"R5","22.7.R5",1,NA,11.8,11.9,12.3,"",NA,7,"Furmint"
2016-08-22,29,3,"R4","29.3.R4",1,NA,8.2,8.7,8.3,"",NA,7,"Schiopettino"
